"","Contig","moduleColor"
"1","Phel_clc_contig_11415","greenyellow"
"2","Phel_clc_contig_14856","lightcyan"
"3","Phel_clc_contig_15144","brown"
"4","Phel_clc_contig_21852","tan"
"5","Phel_clc_contig_13987","midnightblue"
"6","Phel_clc_contig_11724","lightcyan"
"7","Phel_clc_contig_24226","lightcyan"
"8","Phel_clc_contig_27517","greenyellow"
"9","Phel_clc_contig_27719","greenyellow"
"10","Phel_clc_contig_9726","midnightblue"
"11","Phel_clc_contig_20942","tan"
"12","Phel_clc_contig_19282","tan"
"13","Phel_clc_contig_9759","greenyellow"
"14","Phel_clc_contig_17522","darkred"
"15","Phel_clc_contig_10714","lightcyan"
"16","Phel_clc_contig_9673","purple"
"17","Phel_clc_contig_22241","lightcyan"
"18","Phel_clc_contig_29510","tan"
"19","Phel_clc_contig_1562","cyan"
"20","Phel_clc_contig_13868","cyan"
"21","Phel_clc_contig_354","cyan"
"22","Phel_clc_contig_7774","cyan"
"23","Phel_clc_contig_10172","darkred"
"24","Phel_clc_contig_14549","darkred"
"25","Phel_clc_contig_3735","darkred"
"26","Phel_clc_contig_21178","darkred"
"27","Phel_clc_contig_18363","darkred"
"28","Phel_clc_contig_13372","darkred"
"29","Phel_clc_contig_2818","lightcyan"
"30","Phel_clc_contig_14636","blue"
"31","Phel_clc_contig_10702","lightcyan"
"32","Phel_clc_contig_14779","lightcyan"
"33","Phel_clc_contig_11378","lightcyan"
"34","Phel_clc_contig_666","lightcyan"
"35","Phel_clc_contig_16357","lightcyan"
"36","Phel_clc_contig_16686","darkred"
"37","Phel_clc_contig_3540","darkred"
"38","Phel_clc_contig_5026","blue"
"39","Phel_clc_contig_7066","blue"
"40","Phel_clc_contig_11439","brown"
"41","Phel_clc_contig_19690","brown"
"42","Phel_clc_contig_24261","lightgreen"
"43","Phel_clc_contig_5173","brown"
"44","Phel_clc_contig_23356","blue"
"45","Phel_clc_contig_2814","darkred"
"46","Phel_clc_contig_12605","pink"
"47","Phel_clc_contig_9584","pink"
"48","Phel_clc_contig_22169","lightgreen"
"49","Phel_clc_contig_5232","pink"
"50","Phel_clc_contig_7417","greenyellow"
"51","Phel_clc_contig_11424","green"
"52","Phel_clc_contig_14297","blue"
"53","Phel_clc_contig_10888","blue"
"54","Phel_clc_contig_19112","blue"
"55","Phel_clc_contig_13213","green"
"56","Phel_clc_contig_12134","blue"
"57","Phel_clc_contig_6750","midnightblue"
"58","Phel_clc_contig_29243","green"
"59","Phel_clc_contig_6434","midnightblue"
"60","Phel_clc_contig_14361","blue"
"61","Phel_clc_contig_11643","green"
"62","Phel_clc_contig_1450","green"
"63","Phel_clc_contig_25027","green"
"64","Phel_clc_contig_9853","midnightblue"
"65","Phel_clc_contig_10213","midnightblue"
"66","Phel_clc_contig_2966","midnightblue"
"67","Phel_clc_contig_16775","midnightblue"
"68","Phel_clc_contig_12675","green"
"69","Phel_clc_contig_6820","green"
"70","Phel_clc_contig_12119","green"
"71","Phel_clc_contig_12713","blue"
"72","Phel_clc_contig_12805","blue"
"73","Phel_clc_contig_4407","blue"
"74","Phel_clc_contig_1757","blue"
"75","Phel_clc_contig_4576","blue"
"76","Phel_clc_contig_22211","blue"
"77","Phel_clc_contig_19889","blue"
"78","Phel_clc_contig_7983","blue"
"79","Phel_clc_contig_8635","grey60"
"80","Phel_clc_contig_11488","midnightblue"
"81","Phel_clc_contig_20320","midnightblue"
"82","Phel_clc_contig_20161","brown"
"83","Phel_clc_contig_8808","brown"
"84","Phel_clc_contig_25452","pink"
"85","Phel_clc_contig_4927","brown"
"86","Phel_clc_contig_8892","lightgreen"
"87","Phel_clc_contig_27834","lightgreen"
"88","Phel_clc_contig_8352","brown"
"89","Phel_clc_contig_12310","blue"
"90","Phel_clc_contig_15824","blue"
"91","Phel_clc_contig_16508","black"
"92","Phel_clc_contig_10161","lightcyan"
"93","Phel_clc_contig_13198","darkred"
"94","Phel_clc_contig_27525","lightcyan"
"95","Phel_clc_contig_23205","lightcyan"
"96","Phel_clc_contig_3860","brown"
"97","Phel_clc_contig_10959","black"
"98","Phel_clc_contig_22898","black"
"99","Phel_clc_contig_439","brown"
"100","Phel_clc_contig_24134","black"
"101","Phel_clc_contig_9206","black"
"102","Phel_clc_contig_11948","greenyellow"
"103","Phel_clc_contig_2278","greenyellow"
"104","Phel_clc_contig_1739","midnightblue"
"105","Phel_clc_contig_7353","greenyellow"
"106","Phel_clc_contig_9504","greenyellow"
"107","Phel_clc_contig_12233","black"
"108","Phel_clc_contig_19007","blue"
"109","Phel_clc_contig_15233","blue"
"110","Phel_clc_contig_5495","black"
"111","Phel_clc_contig_25377","midnightblue"
"112","Phel_clc_contig_8012","black"
"113","Phel_clc_contig_9976","black"
"114","Phel_clc_contig_12383","midnightblue"
"115","Phel_clc_contig_5999","brown"
"116","Phel_clc_contig_3853","brown"
"117","Phel_clc_contig_27302","lightcyan"
"118","Phel_clc_contig_6367","brown"
"119","Phel_clc_contig_6205","brown"
"120","Phel_clc_contig_11679","black"
"121","Phel_clc_contig_23311","brown"
"122","Phel_clc_contig_24621","brown"
"123","Phel_clc_contig_13317","lightcyan"
"124","Phel_clc_contig_11764","brown"
"125","Phel_clc_contig_19540","brown"
"126","Phel_clc_contig_25692","brown"
